ID,Date,Heure,Plateforme,Objectif,Persona,Pilier,Sujet,Titre,Hook,CTA,Format,Prompt Visuel,Prompt Video,Statut
1,2026-07-01,08:00,Instagram,Notoriété/Expertise,"P1 Awa, la maman prévoyante",PIL1 Pédagogie & Santé visuelle,Pédagogie & Santé visuelle,5 signes que vos lunettes ne sont plus adaptées,Saviez-vous que... 5 signes que vos lunettes ne sont plus adaptées ? On vous explique. 👇,Enregistrez ce post et partagez-le à un proche concerné. 👀,Carrousel pédagogique,"[Visuel Instagram · 1080x1350 (4:5)] Charte: fond Bleu Nuit #0A1F44 (dominante),…",Voir 04-scripts-video/,À produire
2,2026-07-01,18:30,Facebook,RDV/Vente,"P2 Koffi, le pro hyperconnecté",PIL4 Offres & Conversion,Offres & Conversion,Réservez votre bilan de vue en 2 clics sur WhatsApp,Et si aujourd'hui était le bon jour pour réservez votre bilan de vue en 2 clics sur whatsapp ?,📲 Réservez votre bilan en 2 clics : écrivez « RDV » sur WhatsApp.,Story RDV,"[Visuel Facebook · 1080x1920 (9:16)] Charte: fond Bleu Nuit #0A1F44 (dominante),…",Voir 04-scripts-video/,À produire
3,2026-07-02,08:00,Facebook,Vente,"P2 Koffi, le pro hyperconnecté",PIL2 Produits & Montures,Produits & Montures,Comment choisir une monture selon la forme de son visage,Vous hésitez encore ? Comment choisir une monture selon la forme de son visage 👇,"Passez nous voir pour l'essayer, ou écrivez-nous sur WhatsApp. 👓",Photo studio,"[Visuel Facebook · 1080x1350 (4:5)] Charte: fond Bleu Nuit #0A1F44 (dominante), …",Voir 04-scripts-video/,À produire
4,2026-07-02,18:30,Facebook,Confiance/Conversion,"P4 Yann, le jeune stylé",PIL3 Preuve sociale & Témoignages,Preuve sociale & Témoignages,"Témoignage : « Avec mes progressifs, je revis »","Saviez-vous que... témoignage : « avec mes progressifs, je revis » ? On vous explique. 👇",Vous aussi ? Écrivez-nous « VUE » sur WhatsApp pour votre bilan. 💬,Story avis,"[Visuel Facebook · 1080x1920 (9:16)] Charte: fond Bleu Nuit #0A1F44 (dominante),…",Voir 04-scripts-video/,À produire
5,2026-07-03,08:00,Facebook,Notoriété locale,"P1 Awa, la maman prévoyante",PIL5 Vie locale & Communauté,Vie locale & Communauté,Fiers d'être votre opticien à Yopougon,Saviez-vous que... fiers d'être votre opticien à yopougon ? On vous explique. 👇,Suivez-nous et taguez un voisin de Yopougon ! 🏘️,Photo lifestyle,"[Visuel Facebook · 1080x1350 (4:5)] Charte: fond Bleu Nuit #0A1F44 (dominante), …",Voir 04-scripts-video/,À produire
6,2026-07-03,18:30,Facebook,Expertise/B2B,"P2 Koffi, le pro hyperconnecté",PIL6 Coulisses & Expertise B2B,Coulisses & Expertise B2B,Dans les coulisses : comment se déroule un bilan de vue,Saviez-vous que... dans les coulisses : comment se déroule un bilan de vue ? On vous explique. 👇,Contactez-nous en message privé pour une offre entreprise. 🤝,Carrousel expertise,"[Visuel Facebook · 1080x1350 (4:5)] Charte: fond Bleu Nuit #0A1F44 (dominante), …",Voir 04-scripts-video/,À produire
7,2026-07-04,08:00,Facebook,Notoriété/Expertise,"P1 Awa, la maman prévoyante",PIL1 Pédagogie & Santé visuelle,Pédagogie & Santé visuelle,Pourquoi vous avez mal à la tête devant l'écran,Saviez-vous que... pourquoi vous avez mal à la tête devant l'écran ? On vous explique. 👇,Enregistrez ce post et partagez-le à un proche concerné. 👀,Infographie,"[Visuel Facebook · 1080x1350 (4:5)] Charte: fond Bleu Nuit #0A1F44 (dominante), …",Voir 04-scripts-video/,À produire
8,2026-07-04,18:30,Facebook,RDV/Vente,"P4 Yann, le jeune stylé",PIL4 Offres & Conversion,Offres & Conversion,Cette semaine : prenez RDV pour votre consultation visuelle,Et si aujourd'hui était le bon jour pour cette semaine : prenez rdv pour votre consultation visuelle ?,📲 Réservez votre bilan en 2 clics : écrivez « RDV » sur WhatsApp.,Carrousel offre,"[Visuel Facebook · 1080x1350 (4:5)] Charte: fond Bleu Nuit #0A1F44 (dominante), …",Voir 04-scripts-video/,À produire
9,2026-07-05,08:00,Facebook,Vente,"P2 Koffi, le pro hyperconnecté",PIL2 Produits & Montures,Produits & Montures,Nouvelle collection : les montures tendance de la saison,Vous hésitez encore ? Nouvelle collection : les montures tendance de la saison 👇,"Passez nous voir pour l'essayer, ou écrivez-nous sur WhatsApp. 👓",Carrousel produit,"[Visuel Facebook · 1080x1350 (4:5)] Charte: fond Bleu Nuit #0A1F44 (dominante), …",Voir 04-scripts-video/,À produire
10,2026-07-05,18:30,Facebook,Confiance/Conversion,"P3 Tante Mariam, la presbyte active",PIL3 Preuve sociale & Témoignages,Preuve sociale & Témoignages,Avant / après : le confort d'une vraie correction,Saviez-vous que... avant / après : le confort d'une vraie correction ? On vous explique. 👇,Vous aussi ? Écrivez-nous « VUE » sur WhatsApp pour votre bilan. 💬,Carrousel avant/après,"[Visuel Facebook · 1080x1350 (4:5)] Charte: fond Bleu Nuit #0A1F44 (dominante), …",Voir 04-scripts-video/,À produire
